Date,Open,High,Low,Close,Volume,short_ma,long_ma,signal,Equity
2024-12-17T00:00:00.000,249.805,253.551,249.506,253.202,51412825,240.16639999999998,233.08958,0,9947691.595310071
2024-12-18T00:00:00.000,251.883,254.001,247.468,247.778,56836523,241.15385,233.53965999999997,0,9734595.809285626
2024-12-19T00:00:00.000,247.228,251.723,246.824,249.516,60949202,242.19224999999997,233.94925999999998,0,9802877.607978562
2024-12-20T00:00:00.000,247.768,254.72,245.42,254.211,147657435,243.48934999999997,234.46274000000003,0,9987332.754620299
2024-12-23T00:00:00.000,254.49,255.369,253.172,254.99,40903697,244.75795,235.02154,0,10017937.772561494
2024-12-24T00:00:00.000,255.209,257.926,255.01,257.916,23260251,246.02304999999996,235.56402000000003,0,10132893.205804031
2024-12-26T00:00:00.000,257.906,259.814,257.347,258.736,27292958,247.21974999999998,236.07201999999998,0,10165109.014163185
2024-12-27T00:00:00.000,257.547,258.416,252.782,255.309,42401889,248.2516,236.55278,0,10030470.507764626
2024-12-30T00:00:00.000,251.953,253.222,250.475,251.923,35596636,248.99429999999998,236.95844,0,9897442.791784028
2024-12-31T00:00:00.000,252.163,253.002,249.156,250.145,39524126,249.53519999999997,237.27166,0,9827589.490244303
